code,log_or,p_two,group
P07.38,6.662864788841091,2.528164177833302,P
P70,4.7175463792689225,1.8207551932213892,P
H04,1.076051842897737,0.4556188898265515,H
J09.X2,1.8030116028336385,0.3864156564243043,J
R19.8,4.970488535424589,1.5526665219574216,R
L66,-0.2788010322044017,-0.13254962541484933,L
H00.01,1.3994970442972146,0.3650969569773589,H
H10.13,0.5492928296263788,0.06498393470929947,H
J11,4.78575619685393,1.5421464323969423,J
L72,2.3319124583088633,0.5518546901243503,L
H61.20,3.988345568931822,1.3171151639254832,H
R49.0,4.105155081760662,0.8313963548249705,R
J18.1,4.998515941169666,1.6616185945105124,J
P70.4,6.058543221303292,2.110209707077838,P
R39,3.7579909571470997,1.3077073359679945,R
R93.5,3.9290139410299,0.6934391882701567,R
R76,4.001224750552265,0.9654095948933419,R
J35.3,5.9243720859074385,2.302994989114317,J
L73.9,2.8682611260749056,0.72748755899263,L
