feature,beta_true,logOR_true,a,b,c,d,a_obs,b_obs,c_obs,d_obs,logOR_naive,se_naive,p_naive,logOR_lambda,se_lambda,p_lambda,a_hat,b_hat,c_hat,d_hat
12,-0.022818195313630753,-0.02456241854460918,149370,151113,150729,148788,164762,135721,165127,134390,-0.012068110688924398,0.0051898266111652614,0.02005379447122793,-0.022812193776204154,0.005291773115654556,1.6260684543389553e-05,143472.20779220777,142702.07792207794,144637.6623376623,140616.62337662338
13,-0.005047580124068879,-0.002452965021054269,149792,150239,149945,150024,165003,135028,164964,135005,6.60376403604e-05,0.005189926529606308,0.9898478347234551,0.0001248234949216941,0.005291702074919113,0.9811808180585773,144145.19480519477,141598.61471861473,144106.49350649345,141578.2683982684
14,-0.014937920551156177,-0.012388682525525465,149323,150458,150471,149748,164621,135160,165352,134867,-0.0066008055300258205,0.005189944388604815,0.20342814816286348,-0.012476769996395149,0.005291730786428385,0.018384276136734486,143580.51948051946,141925.19480519483,144682.07792207788,141240.77922077922
15,0.018554571267786386,0.028145510885415437,151255,148875,149014,150856,165436,134694,164052,135818,0.01671112133342863,0.0051891425380850755,0.001280112677776061,0.031596364659849274,0.005291748763047229,2.359860689899312e-09,144881.03896103892,140957.05627705628,142499.7402597402,143090.73593073594
16,0.0012307444860218104,-0.0010794043276641776,150215,149760,150321,149704,165102,134873,165031,134994,0.0013268631387656578,0.005190217420131072,0.7982234788868556,0.0025077940505343985,0.0052917557095922985,0.6355670388859775,144354.28571428568,141336.19047619047,144199.22077922075,141538.87445887446
17,-0.009061441007789744,-0.009786756100956875,150182,150371,150362,149085,165349,135204,165162,134285,-0.0056887388216755996,0.005190901926131099,0.2731200601710646,-0.010749640144191941,0.005291925222197037,0.04222165110322482,144503.11688311683,141737.8354978355,144737.6623376623,140449.95670995672
18,-0.024226547623733587,-0.022245161659645466,149505,150894,150774,148827,165154,135245,164797,134804,-0.0011021127791163508,0.0051899037558003,0.8318284715182738,-0.0020832254023776422,0.005291702748930265,0.6938190025048734,144228.57142857142,141865.7142857143,143994.02597402595,141340.25974025976
19,-0.007968810117525255,-0.0057773893292939376,150108,150335,150098,149459,165410,135033,164757,134800,0.0022285790416959007,0.005190282428800714,0.667650130635026,0.0042119713188373325,0.005291774684994231,0.4260629366958132,144671.1688311688,141465.02164502165,143944.15584415582,141348.2251082251
20,0.000252276236394871,-0.0026588696624698545,150206,150619,149581,149594,165354,135471,164752,134423,-0.004118715817042875,0.005190195113682977,0.4274533565462323,-0.007784567888705221,0.005291776274379484,0.1412724649182361,144370.90909090906,142129.0909090909,144133.50649350646,140795.06493506493
21,-0.008539243699126732,-0.011160259471417066,149720,150303,150534,149443,165023,135000,164960,135017,0.0005077542313420116,0.005189954486479679,0.9220640744931288,0.000959743654534284,0.005291707023292942,0.8560791298656296,144185.71428571423,141550.4761904762,144095.0649350649,141597.316017316
22,0.04009510081675122,0.033102812443973534,151748,148373,149144,150735,165897,134224,164440,135439,0.017832600049466685,0.005190628137260942,0.000591378587322872,0.033700749677934204,0.005292015293905343,1.9122694185973007e-10,145723.89610389606,140105.6277056277,143200.51948051946,142398.52813852814
23,0.031192212059211247,0.04288862317267377,151218,148488,148295,151999,165648,134058,164194,136100,0.023933684320120892,0.00518981299136975,3.994543973215787e-06,0.045243748202590806,0.005292008395580314,1.236790586568078e-17,145486.75324675321,139947.53246753247,142537.6623376623,143456.62337662338
24,-0.08,-0.07630961177863028,147536,152857,152865,146742,163513,136880,166439,133168,-0.045229363048043,0.005190261844178448,2.9262824294004354e-18,-0.0855019101406301,0.005292913979915203,1.0637259823679552e-58,141248.0519480519,144840.5194805195,146976.3636363636,138363.63636363638
25,-0.058528934739184094,-0.05810973528630146,147949,151988,152370,147693,164043,135894,166304,133759,-0.02952424692054449,0.005190738338475064,1.2863338557227276e-08,-0.05579741926992121,0.005292345999110706,5.470111325230188e-26,142448.5714285714,143205.7142857143,146494.02597402595,139280.25974025976
26,-0.005415115215291775,-0.010756776168246806,149833,150044,150763,149360,165423,134454,165295,134828,0.003551819695276552,0.005191257225624486,0.49385356456757024,0.00671091133572549,0.005291995108635655,0.2047533123880061,144988.83116883115,140608.3116883117,144628.31168831166,141203.1168831169
27,-0.01308109146370938,-0.0173787004022689,148867,150991,150312,149830,163827,136031,165849,134293,-0.025125478933278315,0.005189524019413713,1.2881289230019543e-06,-0.04750141529593334,0.005291997444888475,2.80574376427368e-19,142096.88311688308,143482.1645021645,145625.71428571426,140223.80952380953
28,0.006619486170767629,0.0019466063407409704,150108,149924,149930,150038,165363,134669,165149,134819,0.00240817490316654,0.005190887636474638,0.6427025357354272,0.004550562621638491,0.005291900322111496,0.38983817487669337,144799.22077922075,140945.54112554115,144443.3766233766,141240.4329004329
29,0.006733473756928206,0.0003550348618642771,150459,150281,149692,149568,165617,135123,165111,134149,-0.004174415930269898,0.005191293646776982,0.4213284667444698,-0.007887226216092407,0.0052920188236569255,0.1361190249308835,144893.24675324673,141525.80086580088,144742.0779220779,140267.4458874459
30,0.06561883382612287,0.07671598453854155,152843,147055,147192,152910,166451,133447,163554,136548,0.04052942837346056,0.00519027116473166,5.776690419970802e-15,0.0766133560490886,0.005292685405497772,1.7349670873868369e-47,146847.01298701295,138770.12987012987,141473.7662337662,144337.66233766233
31,-0.03445470315635261,-0.03238021689111801,148376,151041,151387,149196,163859,135558,166372,134211,-0.02520626458765603,0.005190492585996157,1.196372154497574e-06,-0.0476394022808357,0.005292171317401939,2.2191894818457457e-19,142384.15584415582,142774.8917748918,146347.53246753244,139921.99134199135
32,-0.011699663232379172,-0.012865952298956797,149733,150231,150734,149302,164923,135041,165192,134844,-0.0030896064266563955,0.005190187026712911,0.5516573663557115,-0.005839468670919268,0.005291754316590406,0.26980863303691893,144034.54545454544,141645.45454545456,144486.23376623375,141262.33766233767
33,0.0632929633273852,0.06165235433087794,151879,147918,147458,152745,165760,134037,163673,136530,0.031098807035974743,0.005189170871780748,2.059789661002607e-09,0.05880370141358004,0.005292146546877891,1.1028756762334337e-28,145643.11688311686,139877.8354978355,141637.6623376623,144269.95670995672
34,0.02003735947385753,0.01849072506307826,150443,149350,149263,150944,164980,134813,165313,134894,-0.0014157364758148805,0.0051905000329113314,0.785041310318449,-0.002675530999517489,0.005291813326565953,0.6131387843603593,144227.01298701295,141290.12987012987,144617.40259740254,141294.02597402598
35,0.02054426718954711,0.024644592474034444,150665,149479,148673,151183,165227,134917,164100,135756,0.013043626391362865,0.005188849067762769,0.011944482886028148,0.02466429704743392,0.005291655588690046,3.1470841041093806e-06,144493.7662337662,141357.66233766233,142594.28571428568,142982.85714285716
36,-0.015925904939120345,-0.016858974959095937,149489,151069,150196,149246,164966,135592,164825,134617,-0.006361556154927435,0.005189639011452401,0.22026693687954613,-0.012025774811593663,0.005291686258194449,0.023051565213420302,143804.15584415582,142441.55844155845,144127.53246753244,141055.3246753247
37,-0.051063741520175086,-0.04812098895974031,148408,151187,152423,147982,164044,135551,166415,133990,-0.02593268060171704,0.005190900511437127,5.859354026613963e-07,-0.04900637625466985,0.005292275196621544,2.0446552210803565e-20,142628.05194805193,142700.5194805195,146518.1818181818,139581.8181818182
38,0.005188705323612489,0.0022812921316070008,150062,150087,149742,150109,164967,135182,164738,135113,0.0008785651810538569,0.0051894719037493195,0.8655625572190511,0.0016609015887377938,0.005291632135119389,0.7536173347317882,144018.44155844153,141837.74891774892,143756.88311688308,141815.49783549784
39,0.003377677973078771,0.0038398316667430264,150036,149946,149766,150252,165078,134904,165156,134862,-0.0007837707048300347,0.005190394784608386,0.8799725102679453,-0.0014812578665742923,0.005291789910172555,0.779541777219859,144307.01298701295,141390.12987012987,144430.12987012984,141301.2987012987
40,-0.038028112528181585,-0.04070813507253008,148540,151533,151520,148407,164111,135962,165458,134469,-0.01921603811772856,0.005189299528551414,0.00021305485007184498,-0.03633094234520648,0.005291818587787838,6.626211310678078e-12,142501.55844155842,143282.25108225108,145026.49350649345,140618.2683982684
41,-0.02116900386208804,-0.018158119913509272,149347,150469,150893,149291,164770,135046,165512,134672,-0.007266382457081872,0.005190487941261103,0.16153066519411563,-0.013732507841435704,0.005291838839935645,0.009458124351488515,143833.24675324673,141705.80086580088,144991.1688311688,140898.354978355
42,-0.002232191774264422,0.0029734945829111626,150070,149963,149814,150153,164794,135239,165008,134959,-0.0033702918655866524,0.005189641339543307,0.516062583778646,-0.006371092193287671,0.0052916623738777984,0.2285946406945113,143764.1558441558,141981.55844155845,144187.53246753244,141495.3246753247
