feature,beta_true,a,b,c,d,logOR_hat,se_wald,p_wald,neglog10p
1258,0.05706837337852152,152405,148257,147375,151963,0.05825071389643551,0.0051645309786374485,1.666406728477144e-29,28.778218989498985
1259,0.047510879862129665,151824,147930,148823,151423,0.043302186524563656,0.005164285729265877,5.0754932743487506e-17,16.29452174338178
1260,0.02334201669910683,151074,148724,149631,150571,0.02193994102540322,0.005164062388551098,2.151281778023973e-05,4.667302701362338
1261,-0.0034669013963093912,149709,150311,150079,149901,-0.005199799771652525,0.005163974851781846,0.31396482424003425,0.5031190063668943
1262,-0.026088215454685027,148972,150658,150749,149621,-0.01876470806268006,0.00516403222720009,0.00027935125732142985,3.5538493695999325
1263,-0.034444702395459145,149065,151376,151486,148073,-0.0381720442819026,0.005164218889017117,1.4502930533217181e-13,12.838544233226326
1264,0.015068350918394808,150763,149227,149320,150690,0.019373458637894442,0.005164029958097932,0.000175698261691677,3.755232535268775
1265,0.014506131366661006,150187,149924,149595,150294,0.006414397184118445,0.005163977549323081,0.21418390443454505,0.669213168788501
1266,-0.005410471228708974,150060,150021,150034,149885,-0.0007336694204048648,0.005163969717075607,0.8870210061872084,0.052066095204162104
1267,0.026288769310122174,150106,148949,149983,150962,0.01424389339867188,0.005164027811827459,0.005810437990620025,2.2357911292723283
1268,-0.018730897408122397,149624,150755,150091,149530,-0.01127521972331192,0.00516399612024534,0.029004220316037745,1.5375388046316072
1269,0.034398879691492405,151290,148818,148659,151233,0.03364093117352593,0.005164152233046079,7.30205318499948e-11,10.136555008161466
1270,0.0012395735651782697,150002,149540,150097,150361,0.0048420132367811945,0.005163979277102701,0.34842350387984655,0.457892556129869
1271,-0.0011255377841829753,150372,149862,149469,150297,0.008921646600436163,0.005163984338740054,0.08404789906238552,1.0754731381081104
1272,-8.467797200291737e-06,149792,150201,150162,149845,-0.004840000656287167,0.0051639730307759014,0.3486233100937741,0.457643577906898
1273,-0.003054738984542285,149882,150743,149781,149594,-0.006977328436663495,0.005163991467149948,0.1766473027915142,0.7528929893737988
